datetime,timestamp,open,high,low,close,volume
2025-12-01 08:00:00,1764576000000,2840.66,2844.79,2832.74,2840.69,258.94295237
2025-12-01 09:00:00,1764579600000,2840.47,2853.19,2830.5,2838.93,1226.75680979
2025-12-01 10:00:00,1764583200000,2838.93,2845.5,2837.35,2844.76,301.57634364
2025-12-01 11:00:00,1764586800000,2844.76,2849.74,2836.19,2838.52,232.65028105
2025-12-01 12:00:00,1764590400000,2838.26,2838.26,2795.96,2821.9,1433.97175514
2025-12-01 13:00:00,1764594000000,2821.9,2837.6,2804.36,2813.26,3947.7822239
2025-12-01 14:00:00,1764597600000,2812.92,2832.01,2807.54,2816.9,5945.46970488
2025-12-01 15:00:00,1764601200000,2817.86,2819.55,2718.8,2745.41,8866.99041458
2025-12-01 16:00:00,1764604800000,2745.41,2754.49,2719.8,2728.63,1265.55091393
2025-12-01 17:00:00,1764608400000,2729.81,2751.5,2728.08,2739.42,1200.21216523
2025-12-01 18:00:00,1764612000000,2739.42,2757.08,2725.52,2750.68,1106.40524179
2025-12-01 19:00:00,1764615600000,2749.52,2750.99,2731.99,2739.53,312.90334553
2025-12-01 20:00:00,1764619200000,2740.53,2769.76,2740.52,2756.2,1541.87013516
2025-12-01 21:00:00,1764622800000,2757.65,2797.87,2757.47,2791.51,2191.97706945
2025-12-01 22:00:00,1764626400000,2791.78,2813.23,2791.66,2797.89,2076.1089411
2025-12-01 23:00:00,1764630000000,2797.9,2818.0,2796.68,2799.79,213.61024288
2025-12-02 00:00:00,1764633600000,2799.8,2804.14,2784.31,2794.89,830.23421378
2025-12-02 01:00:00,1764637200000,2794.9,2823.22,2793.73,2794.13,898.90083638
2025-12-02 02:00:00,1764640800000,2794.12,2813.52,2787.37,2800.6,253.80458872
2025-12-02 03:00:00,1764644400000,2800.73,2810.41,2786.89,2804.77,6200.13507259
2025-12-02 04:00:00,1764648000000,2804.77,2812.3,2804.08,2804.63,215.74967799
2025-12-02 05:00:00,1764651600000,2805.07,2806.14,2798.9,2804.09,246.37146802
2025-12-02 06:00:00,1764655200000,2804.1,2816.27,2798.9,2812.98,316.88222658
2025-12-02 07:00:00,1764658800000,2812.98,2813.0,2804.54,2806.83,183.43527038
2025-12-02 08:00:00,1764662400000,2805.99,2806.59,2784.43,2797.36,383.9587505
2025-12-02 09:00:00,1764666000000,2797.36,2809.57,2796.49,2799.25,325.35608621
