datetime,timestamp,open,high,low,close,volume
2025-12-01 08:00:00,1764576000000,127.43,127.79,127.04,127.69,12371.92658881
2025-12-01 09:00:00,1764579600000,127.71,128.01,126.89,127.03,12799.52393653
2025-12-01 10:00:00,1764583200000,127.04,127.56,126.97,127.22,4434.01687495
2025-12-01 11:00:00,1764586800000,127.26,127.32,126.91,127.17,6383.31385475
2025-12-01 12:00:00,1764590400000,127.17,127.17,125.5,126.54,17064.53643799
2025-12-01 13:00:00,1764594000000,126.55,127.62,126.18,126.44,8682.63063337
2025-12-01 14:00:00,1764597600000,126.48,127.06,125.56,126.13,10267.08513756
2025-12-01 15:00:00,1764601200000,126.13,126.27,123.16,125.06,24897.70501847
2025-12-01 16:00:00,1764604800000,125.11,125.33,123.39,123.4,12420.35650487
2025-12-01 17:00:00,1764608400000,123.47,124.89,123.47,124.51,8190.98522603
2025-12-01 18:00:00,1764612000000,124.51,125.28,123.85,124.53,13899.66060701
2025-12-01 19:00:00,1764615600000,124.52,124.6,123.3,123.81,4881.91292997
2025-12-01 20:00:00,1764619200000,123.84,125.25,123.84,124.41,17384.93201511
2025-12-01 21:00:00,1764622800000,124.44,126.28,124.25,126.12,21545.93358839
2025-12-01 22:00:00,1764626400000,126.12,127.44,125.9,126.87,15542.99450735
2025-12-01 23:00:00,1764630000000,126.87,127.4,126.52,126.7,10166.35711525
2025-12-02 00:00:00,1764633600000,126.66,127.5,126.5,127.4,11087.09505118
2025-12-02 01:00:00,1764637200000,127.4,128.42,126.84,126.99,13960.01292741
2025-12-02 02:00:00,1764640800000,126.99,128.11,126.63,127.0,4520.67764791
2025-12-02 03:00:00,1764644400000,127.01,127.6,126.09,127.24,4929.95259605
2025-12-02 04:00:00,1764648000000,127.25,127.83,126.9,126.91,2541.79815639
2025-12-02 05:00:00,1764651600000,126.91,127.11,126.51,126.71,600.82577504
2025-12-02 06:00:00,1764655200000,126.72,127.77,126.5,127.74,12093.74686862
2025-12-02 07:00:00,1764658800000,127.68,127.69,127.05,127.28,2654.11339992
2025-12-02 08:00:00,1764662400000,127.28,127.28,125.98,126.06,6867.59957067
2025-12-02 09:00:00,1764666000000,126.18,127.14,126.18,126.85,5800.87903443
2025-12-02 10:00:00,1764669600000,126.81,128.73,126.72,128.3,8564.08732583
2025-12-02 11:00:00,1764673200000,128.31,128.46,127.83,128.23,14824.52792781
2025-12-02 12:00:00,1764676800000,128.32,129.0,128.22,128.85,23636.89288071
2025-12-02 13:00:00,1764680400000,128.85,130.9,128.5,130.6,16305.32947025
2025-12-02 14:00:00,1764684000000,130.61,133.4,130.41,132.91,24615.56489303
2025-12-02 15:00:00,1764687600000,132.91,142.56,132.9,137.88,119962.61120379
2025-12-02 16:00:00,1764691200000,137.85,139.6,137.4,139.32,35103.89554576
2025-12-02 17:00:00,1764694800000,139.41,141.71,139.09,139.48,112540.60285134
2025-12-02 18:00:00,1764698400000,139.48,140.33,139.42,139.88,6708.27025936
2025-12-02 19:00:00,1764702000000,139.88,140.67,139.8,140.22,6501.68747777
2025-12-02 20:00:00,1764705600000,140.22,140.37,138.33,138.77,20123.73550896
2025-12-02 21:00:00,1764709200000,138.73,139.25,138.39,139.25,18934.70483071
2025-12-02 22:00:00,1764712800000,139.25,140.0,138.9,139.91,22554.10428925
2025-12-02 23:00:00,1764716400000,139.93,139.98,138.55,138.66,5149.34099614
2025-12-03 00:00:00,1764720000000,138.68,138.99,137.78,138.22,11088.54116118
