holding_period,num_trades,total_gross_return,total_net_return,win_rate,avg_gross_return,avg_net_return,benchmark_return
4,25,-0.025980375517922937,-0.1259803755179229,0.24,-0.0010392150207169176,-0.0050392150207169166,0.0028161587546541595
8,23,-0.08397367205714147,-0.17597367205714143,0.391304347826087,-0.0036510292198757162,-0.007651029219875714,0.0028161587546541595
12,23,0.08820762190617196,-0.003792378093828038,0.4782608695652174,0.00383511399592052,-0.0001648860040794799,0.0028161587546541595
24,22,0.43133187522279837,0.3433318752227984,0.7272727272727273,0.019605994328309017,0.015605994328309019,0.0028161587546541595
