entry_time,exit_time,symbol,entry_price,exit_price,gross_return,net_return,holding_hours
2025-12-17 15:00:00,2025-12-17 23:00:00,BTC_USD,87204.5,86207.8,-0.011429456048713049,-0.015429456048713049,8
2025-12-18 17:00:00,2025-12-19 01:00:00,ETH_USD,2844.33,2819.54,-0.008715585041116877,-0.012715585041116877,8
2025-12-18 17:00:00,2025-12-19 01:00:00,AVAX_USD,11.65,11.33,-0.027467811158798306,-0.031467811158798306,8
2025-12-18 17:00:00,2025-12-19 01:00:00,SOL_USD,122.91,118.32,-0.03734439834024899,-0.041344398340248986,8
2025-12-21 13:00:00,2025-12-21 21:00:00,AVAX_USD,11.98,11.99,0.0008347245409014846,-0.0031652754590985157,8
2025-12-01 15:00:00,2025-12-02 03:00:00,ETH_USD,2745.41,2804.77,0.021621542866092906,0.017621542866092906,12
2025-12-05 16:00:00,2025-12-06 04:00:00,ETH_USD,3034.51,3037.15,0.0008699921898427991,-0.003130007810157201,12
2025-12-05 16:00:00,2025-12-06 04:00:00,SOL_USD,132.23,133.23,0.007562580352416245,0.0035625803524162447,12
2025-12-07 14:00:00,2025-12-08 02:00:00,AVAX_USD,13.03,13.57,0.04144282425172686,0.03744282425172686,12
2025-12-07 14:00:00,2025-12-08 02:00:00,ETH_USD,2944.97,3110.01,0.0560413179081622,0.0520413179081622,12
2025-12-07 14:00:00,2025-12-08 02:00:00,SOL_USD,128.23,134.08,0.04562114949699776,0.04162114949699776,12
2025-12-11 00:00:00,2025-12-11 12:00:00,AVAX_USD,13.82,13.29,-0.03835021707670051,-0.042350217076700516,12
2025-12-12 15:00:00,2025-12-13 03:00:00,ETH_USD,3072.14,3089.45,0.005634508843997977,0.0016345088439979772,12
2025-12-12 15:00:00,2025-12-13 03:00:00,AVAX_USD,12.91,13.22,0.024012393493415995,0.020012393493415995,12
2025-12-12 15:00:00,2025-12-13 03:00:00,SOL_USD,133.49,132.88,-0.004569630683946465,-0.008569630683946465,12
2025-12-12 15:00:00,2025-12-13 03:00:00,BTC_USD,89926.8,90340.9,0.0046048563943117205,0.0006048563943117204,12
2025-12-15 14:00:00,2025-12-16 02:00:00,ETH_USD,3049.16,2946.2,-0.0337666767240814,-0.037766676724081405,12
2025-12-15 15:00:00,2025-12-16 03:00:00,AVAX_USD,12.51,12.27,-0.019184652278177474,-0.023184652278177474,12
2025-12-15 15:00:00,2025-12-16 03:00:00,SOL_USD,126.95,126.45,-0.003938558487593541,-0.00793855848759354,12
2025-12-16 13:00:00,2025-12-17 01:00:00,AVAX_USD,12.0,12.32,0.02666666666666669,0.02266666666666669,12
2025-12-17 15:00:00,2025-12-18 03:00:00,ETH_USD,2903.1,2830.84,-0.02489063414970196,-0.02889063414970196,12
2025-12-17 15:00:00,2025-12-18 03:00:00,AVAX_USD,12.14,11.74,-0.03294892915980233,-0.03694892915980233,12
2025-12-17 15:00:00,2025-12-18 03:00:00,SOL_USD,126.7,123.55,-0.024861878453038718,-0.028861878453038718,12
2025-12-17 15:00:00,2025-12-18 03:00:00,BTC_USD,87204.5,86554.2,-0.007457183975597623,-0.011457183975597623,12
2025-12-18 17:00:00,2025-12-19 05:00:00,ETH_USD,2844.33,2920.78,0.02687803454592128,0.02287803454592128,12
2025-12-18 17:00:00,2025-12-19 05:00:00,AVAX_USD,11.65,11.69,0.003433476394849712,-0.0005665236051502882,12
2025-12-18 17:00:00,2025-12-19 05:00:00,SOL_USD,122.91,122.45,-0.003742575868521632,-0.007742575868521632,12
2025-12-21 13:00:00,2025-12-22 01:00:00,AVAX_USD,11.98,12.19,0.017529215358931476,0.013529215358931476,12
2025-12-01 15:00:00,2025-12-02 15:00:00,ETH_USD,2745.41,3006.55,0.09511876186070581,0.0911187618607058,24
2025-12-05 16:00:00,2025-12-06 16:00:00,ETH_USD,3034.51,3053.11,0.006129490428438169,0.002129490428438169,24
2025-12-05 16:00:00,2025-12-06 16:00:00,SOL_USD,132.23,133.14,0.006881948120698757,0.002881948120698757,24
2025-12-07 14:00:00,2025-12-08 14:00:00,AVAX_USD,13.03,13.71,0.05218726016884125,0.048187260168841256,24
2025-12-07 14:00:00,2025-12-08 14:00:00,ETH_USD,2944.97,3128.17,0.06220776442544416,0.05820776442544416,24
2025-12-07 14:00:00,2025-12-08 14:00:00,SOL_USD,128.23,137.27,0.07049832332527506,0.06649832332527505,24
2025-12-11 00:00:00,2025-12-12 00:00:00,AVAX_USD,13.82,13.33,-0.03545586107091174,-0.039455861070911744,24
2025-12-12 15:00:00,2025-12-13 15:00:00,ETH_USD,3072.14,3110.81,0.012587316984252044,0.008587316984252044,24
2025-12-12 15:00:00,2025-12-13 15:00:00,AVAX_USD,12.91,13.36,0.03485670023237795,0.030856700232377948,24
2025-12-12 15:00:00,2025-12-13 15:00:00,SOL_USD,133.49,133.31,-0.0013484156116563548,-0.0053484156116563545,24
2025-12-12 15:00:00,2025-12-13 15:00:00,BTC_USD,89926.8,90109.9,0.002036100472828915,-0.0019638995271710853,24
2025-12-15 14:00:00,2025-12-16 14:00:00,ETH_USD,3049.16,2939.33,-0.03601975626074064,-0.04001975626074064,24
2025-12-15 15:00:00,2025-12-16 15:00:00,AVAX_USD,12.51,12.36,-0.011990407673860939,-0.015990407673860937,24
2025-12-15 15:00:00,2025-12-16 15:00:00,SOL_USD,126.95,129.7,0.021662071681764362,0.01766207168176436,24
2025-12-17 15:00:00,2025-12-18 15:00:00,ETH_USD,2903.1,2963.7,0.020874237883641594,0.016874237883641594,24
2025-12-17 15:00:00,2025-12-18 15:00:00,AVAX_USD,12.14,12.18,0.0032948929159801604,-0.0007051070840198397,24
2025-12-17 15:00:00,2025-12-18 15:00:00,SOL_USD,126.7,127.32,0.004893449092344043,0.0008934490923440432,24
2025-12-17 15:00:00,2025-12-18 15:00:00,BTC_USD,87204.5,88452.8,0.014314628258862821,0.010314628258862821,24
2025-12-18 17:00:00,2025-12-19 17:00:00,ETH_USD,2844.33,2937.94,0.032911089782128,0.028911089782128,24
2025-12-18 17:00:00,2025-12-19 17:00:00,AVAX_USD,11.65,12.09,0.037768240343347595,0.03376824034334759,24
2025-12-18 17:00:00,2025-12-19 17:00:00,SOL_USD,122.91,123.57,0.005369782767878908,0.001369782767878908,24
2025-12-21 13:00:00,2025-12-22 13:00:00,AVAX_USD,11.98,12.37,0.032554257095158495,0.028554257095158495,24
